Cruel Temptation (Underground Kings #1),Kelli Callahan
Love Lessons (Lessons of a Student Midwife #2),J.E. Rowney
"Fence, Vol. 4: Rivals",C.S. Pacat
Complicate Me  (Hawthorn Hills Duet #1),Claire Raye
"The Archive of the Forgotten (Hell's Library, #2)",A.J. Hackwith
Treason,Stuart Woods
To Wake the Giant: A Novel of Pearl Harbor,Jeff Shaara
Catherine House,Elisabeth    Thomas
The Last Sister (Columbia River #1),Kendra Elliot
Death in Her Hands,Ottessa Moshfegh
"Druid Vices and a Vodka (The Guild Codex: Spellbound, #6)",Annette Marie
If I Were You,Lynn Austin
Two Reasons to Run (Pelican Harbor #2),Colleen Coble
The Jetsetters,Amanda Eyre Ward
"A Song Below Water (A Song Below Water, #1)",Bethany C. Morrow
Sad Janet,Lucie Britsch
The Bright Lands,John Fram
His Only Wife,Peace Adzo Medie
Billion Dollar Enemy,Olivia Hayle
Cruel Infatuation (Underground Kings #3),Kelli Callahan
The Pining (Fractured Fairy Tales #7),Sarina Dorie
Fragile Longing,Cora Reilly
Complete Me (Hawthorn Hills Duet #2),Claire Raye
"Poison Throne (Royals of Arbon Academy, #3)",Jaymin Eve
"Battle Bond (Death Before Dragons, #2)",Lindsay Buroker
In High Cotton,Ane Mulligan
Lou in Lockdown,Jojo Moyes
Not One of These Poems Is About You,Teva Harrison
"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin
"Wrong Bed, Right Brother (Accidental Love Book 4)",Rebecca Brooks
A Cowgirl's Dream (Barrels and Hearts #1),Edith Mackenzie
Boyfriend Material,Alexis  Hall
One Last Time,Bethany-Kris
"Playboy Princes (Royals of Arbon Academy, #2)",Jaymin Eve
Rules for Being a Girl,Candace Bushnell
"Bound by the Past (Born in Blood Mafia Chronicles, #7)",Cora Reilly
The New Husband,D.J.  Palmer
Black Girl Unlimited,Echo Brown
"Elven Doom (Death Before Dragons, #4)",Lindsay Buroker
"Island Affair (Keys to Love, #1)",Priscilla Oliveras
"Minutes to Die (Homeland Heroes, #2)",Susan Sleeman
"The Lost Family: How DNA Testing Is Uncovering Secrets, Reuniting Relatives, and Upending Who We Are",Libby Copeland
Tales of Ming Courtesans,Alice Poon
American Crusade: Our Fight to Stay Free,Pete Hegseth
Black Skies Riviera,Catherine Wiltcher
"Cynetic Wolf (Wolfish, #1)",Matt  Ward
"The Enforcer Enigma (San Andreas Shifters, #3)",G.L. Carriger
"Supernatural Academy: Year Three (Supernatural Academy, #3)",Jaymin Eve
Pink,Bethany-Kris
"Deathless Divide (Dread Nation, #2)",Justina Ireland
"Tangled Truths (Death Before Dragons, #3)",Lindsay Buroker
Hadley Beckett's Next Dish,Bethany Turner
"The Escape (US Marshals, #1)",Lisa Harris
"Agent Sonya: Lover, Mother, Soldier, Spy",Ben Macintyre
Snug: A Collection of Comics about Dating Your Best Friend,Catana Chetwynd
Last Tang Standing,Lauren Ho
The Pull of the Stars,Emma Donoghue
My Ex's Baby (Crescent Cove #8),Taryn Quinn
"Glass Heart Savage (Glass Heart Academy, #1)",Lindsey Iler
Depths: A Tale of the Little Mermaid (HighTower Fairytales: The Little Mermaid #1),Jacque Stevens
"The Extraordinaries (The Extraordinaries, #1)",T.J. Klune
"Escape (Elite Supernatural Trackers, #3)",Heather  Renee
The Queen of Paris: A Novel of Coco Chanel,Pamela Binnings Ewen
The Red Lotus,Chris Bohjalian
In the Land of Men: A Memoir,Adrienne Miller
Drifts: A Novel,Kate Zambreno
"Pike (The Pawn Duet, #1)",T.M. Frazier
False Security (Death Before Dragons #5),Lindsay Buroker
"Point of Danger (Triple Threat, #1)",Irene Hannon
The New One: Painfully True Stories from a Reluctant Dad,Mike Birbiglia
"The Last Emperox (The Interdependency, #3)",John Scalzi
Focused,Karla Sorensen
Secrets of the Past: Year 1,Sarah      Elizabeth
"Capture (Elite Supernatural Trackers, #2)",Heather  Renee
The Water Keeper,Charles Martin
Lady Clementine,Marie Benedict
"Of Curses and Kisses (St. Rosetta's Academy, #1)",Sandhya Menon
"The Price of Peace: Money, Democracy, and the Life of John Maynard Keynes",Zachary D. Carter
The Secret Women,Sheila    Williams
A Wizard’s Guide to Defensive Baking,T. Kingfisher
Take a Chance on Me (A Misty River Romance #0.5),Becky Wade
One Hot Italian Summer,Karina Halle
Thick as Thieves,Sandra Brown
I Got You a Present!,Susan McLennan
Smitten,Lauren Rowe
No Prince,Stevie J. Cole
"Pawn (The Pawn Duet, #2)",T.M. Frazier
Dangerous Deceptions: A Christian Romantic Suspense Boxed Set,Lisa Harris
"The Little Teashop in Tokyo (Romantic Escapes, #6)",Julie Caplin
A Sprinkling of Murder (A Fairy Garden Mystery #1),Daryl Wood Gerber
Un-American: A Soldier's Reckoning of Our Longest War,Erik Edstrom
After Sundown,Linda Howard
The Messy Life of Blue,Shawna Railey
"Shadows in Death (In Death, #51)",J.D. Robb
The Dare,Lauren Landish
"Cry Wolf: A Tale of Beauty and the Beast (HighTower Fairytales: Beauty and the Beast, #1)",Jacque Stevens
"American Demon (The Hollows, #14)",Kim Harrison
One by One,Ruth Ware
"Backlash (Capital Intrigue, #2)",Rachel Dylan
"Recipe for Persuasion (The Rajes, #2)",Sonali Dev
"Stay with Me (A Misty River Romance, #1)",Becky Wade
"The Cake King (Sugar & Spice, #1)",Rosie Chase
Poesy the Monster Slayer,Cory Doctorow
"No Offense (Little Bridge Island, #2)",Meg Cabot
Rich Prick,Tijan
"Sucker Punch (Anita Blake, Vampire Hunter, #27)",Laurell K. Hamilton
28 Summers,Elin Hilderbrand
"Next to Last Stand (Walt Longmire, #16)",Craig Johnson
The End of Her,Shari Lapena
A Black Women's History of the United States,Daina Ramey Berry
Three Brothers: Memories of My Family,Yan Lianke
Nana Akua Goes to School,Tricia Elam Walker
Can I Come Over?,Whitney G.
That Can Be Arranged: A Muslim Love Story,Huda Fahmy
Hill Women: Finding Family and a Way Forward in the Appalachian Mountains,Cassie Chambers
The Bank,Bentley Little
"Plan for the Worst (The Chronicles of St Mary's, #11)",Jodi Taylor
"Beach Haven (Carolina Coast, #1)",T.I. Lowe
"The Negotiator (Professionals, #7)",Jessica Gadziala
Stay the F At Home,Adam Mansbach
Circle Jerk,KB Cinder
I Will Judge You by Your Bookshelf,Grant Snider
The Safe Place,Anna Downes
A Warm Heart in Winter (Black Dagger Brotherhood #18.5),J.R. Ward
Fire Cannot Kill a Dragon: Game of Thrones and the Official Untold Story of the Epic Series,James Hibberd
Camino Winds (Camino Island #2),John Grisham
"Battle Ground (The Dresden Files, #17)",Jim Butcher
President without a Party: The Life of John Tyler,Christopher J. Leahy
"The Turnaway Study: Ten Years, a Thousand Women, and the Consequences of Having—or Being Denied—an Abortion",Diana Greene Foster
The Tea Chest,Heidi Chiavaroli
A is for Another Rabbit,Hannah Batsel
Shades of Magic Vol. 3: The Rebel Army,V.E. Schwab
"The Jackal (Black Dagger Brotherhood: Prison Camp, #1; Black Dagger Legacy, #5)",J.R. Ward
"Sons of the Waves: A History of the Common Sailor, 1740-1840",Stephen Taylor
"The Solid Grounds Coffee Company (The Supper Club, #3)",Carla Laureano
Saving Ruby King,Catherine Adel West
You Call This Democracy?: How to Fix Our Government and Deliver Power to the People,Elizabeth Rusch
Love in Lockdown,Angel Devlin
"The Sinner (Black Dagger Brotherhood, #19)",J.R. Ward
Name Drop: The Really Good Celebrity Stories I Usually Only Tell at Happy Hour,Ross Mathews
"Annihilation Aria (The Space Operas, #1)",Michael R. Underwood
Butterfly,Ashley Antoinette
New Waves,Kevin  Nguyen
"Losing It All (Hellfire Riders MC, #11)",Kati Wilde
Hour of the Assassin,Matthew Quirk
The Last Blue,Isla Morley
"The Heir Affair (Royal We, #2)",Heather Cocks
The Joy of Falling,Lindsay Harrel
Dark Fairy Tales,C.J. Roberts
The Boatman and Other Stories,Billy O'Callaghan
What's Left of Me Is Yours,Stephanie     Scott
V Is for Voting,Kate    Farrell
"Keeper (Exiled Guardians MC, #5)",Hope Ford
Sin Eater,Megan Campisi
These Women,Ivy Pochoda
Love & Other Crimes,Sara Paretsky
"Ink & Sigil (Ink & Sigil, #1)",Kevin Hearne
Smoky (Exiled Guardians MC #4),Hope Ford
"Crush the King  (Crown of Shards, #3)",Jennifer Estep
What Unbreakable Looks Like,Kate  McLaughlin
I Will Dance,Nancy Bo Flood
What the Heart Wants,Audrey Carlan
"Imagine Me (Shatter Me, #6)",Tahereh Mafi
The Lives of Edie Pritchard,Larry Watson
The Relentless Moon (Lady Astronaut #3),Mary Robinette Kowal
"Heartbreak You  (Heartbreak Duet, #2)",T.L.  Smith
"Credible Threat (Ali Reynolds, #15)",J.A. Jance
"Heartbreak Me (Heartbreak Duet, #1)",T.L.  Smith
Empire City,Matt Gallagher
Jackal (Heartlands Motorcycle Club #12),Frankie Love
"The Old Guard, Book Two: Force Multiplied",Greg Rucka
Above the Bay of Angels,Rhys Bowen
Ryder (Heartlands Motorcycle Club #11),Hope Ford
Saint Joan of New York: A Novel About God and String Theory,Mark Alpert
The Museum of Forgotten Memories,Anstey Harris
Beckham (Heartlands Motorcycle Club #10),Olivia T. Turner
"The Summer Deal (Wildstone, #5)",Jill Shalvis
"Royal Elite Epilogue (Royal Elite, #7)",Rina Kent
Hammer (Heartlands Motorcycle Club #9),Dani Wyatt
Devil's Note,Rob  Bliss
Conley (Heartlands Motorcycle Club #8),Frankie Love
Florence Adler Swims Forever,Rachel Beanland
In the Waves: My Quest to Solve the Mystery of a Civil War Submarine,Rachel Lance
Wrath (Heartlands Motorcycle Club #7),Dani Wyatt
Gage (Heartlands Motorcycle Club #6),Hope Ford
War of the Maps,Paul McAuley
Saint (Heartlands Motorcycle Club #4),Hope Ford
Race of Aces: WWII's Elite Airmen and the Epic Battle to Become the Masters of the Sky,John R. Bruning
Psychostasis (The Dark Triad #2),Ezra Blake
Chain (Heartlands Motorcycle Club #2),Dani Wyatt
Echo Cycle,Patrick Edwards
Chaos and Grime: A Year in the Life of a Chinese City,Jacob Acerbi
Ranger (Heartlands Motorcycle Club #1),Frankie Love
Providence,Max Barry
Jaxon (Heartlands Motorcycle Club #5),Olivia T. Turner
Velocities,Kathe Koja
August: A Novel,Callan Wink
Killian (Heartlands Motorcycle Club #3),Olivia T. Turner
"The Museum of Desire (Alex Delaware, #35)",Jonathan Kellerman
Overdose: Heartbreak And Hope in Canada’s Opiod Crisis,Benjamin Perrin
His Summer Intern,Jessa Kane
Their Summer Intern,Jessa Kane
Bright Precious Thing,Gail Caldwell
Power and the Presidency in Kenya: The Jomo Kenyatta Years,Anais Angelo
Red Pill,Hari Kunzru
Stealth: The Secret Contest to Invent Invisible Aircraft,Peter Westwick
The Pursuit of the Pankera: A Parallel Novel About Parallel Universes,Robert A. Heinlein
The Burglar in Short Order,Lawrence Block
"The System: Who Rigged It, How We Fix It",Robert B. Reich
"War Fever: Boston, Baseball, and America in the Shadow of the Great War",Randy W. Roberts
The Light After the War,Anita Abriel
Gathering Evidence,Martin MacInnes
Marguerite,Marina Kemp
City of Margins,William Boyle
The Children of Ash and Elm: A History of the Vikings,Neil Price
Ride the Devil's Herd: Wyatt Earp's Epic Battle Against the West's Biggest Outlaw Gang,John Boessenecker
Apropos of Nothing,Woody Allen
Deaths of Despair and the Future of Capitalism,Anne Case
Girls of Brackenhill,Kate Moretti
Overload: How Good Jobs Went Bad and What We Can Do about It,Erin L Kelly
State of War: MS-13 and El Savador's World of Violence,William Wheeler
Those Who Go Forth into the Empty Place of Gods,Curtis M. Lawson
Antkind,Charlie Kaufman
Wonderland,Zoje Stage
Alice Knott,Blake Butler
Bubblegum: A Novel,Adam Levin
Whiteout Conditions,Tariq Shah
Child of Light: A Biography of Robert Stone,Madison Smartt Bell
The Gringa,Andrew Altschul
The Baudelaire Fractal,Lisa Robertson
Otaku,Chris Kluwe
"Summer (Seasonal, #4)",Ali Smith
Mediocre: The Dangerous Legacy of White Male America,Ijeoma Oluo
Re-Coil,J.T. Nicholas
"Truthtelling: Stories, Fables, Glimpses",Lynne Sharon Schwartz
All This Marvelous Potential: Robert Kennedy's 1968 Tour of Appalachia,Matthew Algeo
"War Lord (The Last Kingdom, #13)",Bernard Cornwell
Billionaire Wilderness: The Ultra-Wealthy and the Remaking of the American West (Princeton Studies in Cultural Sociology Book 83),Justin  Farrell
"The Forgotten Kingdom (The Lost Queen Trilogy, #2)",Signe Pike
"The Devil of Downtown (Uptown Girls, #3)",Joanna Shupe
Likes,Sarah Shun-lien Bynum
Screening Reality: How Documentary Filmmakers Reimagined America,Jon Wilkman
Belladonna,Anbara Salam
"A People Betrayed: A History of Corruption, Political Incompetence and Social Division in Modern Spain 1874-2018",Paul Preston
The Seventh Mansion,Maryse Meijer
Throwaway Girls,Andrea Contos
The Eye You See With: Selected Nonfiction,Robert Stone
The Book Collectors: A Band of Syrian Rebels and the Stories That Carried Them Through a War,Delphine Minoui
In Our Other Lives,Theodore Wheeler
"The Rule of All (The Rule of One, #3)",Ashley Saunders
City on a Hill: A History of American Exceptionalism,Abram C. Van Engen
The Distant Dead,Heather   Young
Disunited Nations: The Scramble for Power in an Ungoverned World,Peter Zeihan
Animal Spirit: Stories,Francesca Marciano
The Hacker and the State: Cyber Attacks and the New Normal of Geopolitics,Ben  Buchanan
"Tigers, Not Daughters",Samantha Mabry
The Napoleonic Wars: A Global History,Alexander Mikaberidze
Blood Royal: Dynastic Politics in Medieval Europe,Robert Bartlett
Isolationism: A History of America's Efforts to Shield Itself from the World,Charles A. Kupchan
Cool for America: Stories,Andrew     Martin
Man of Tomorrow: The Relentless Life of Jerry Brown,Jim Newton
Singularity Syndrome,Susan Kuchinskas
The Unreality of Memory: And Other Essays,Elisa Gabbert
Kingdom of Nauvoo: The Rise and Fall of a Religious Empire on the American Frontier,Benjamin E. Park
"Dark Tides (The Fairmile, #2)",Philippa Gregory
"The Scientist and the Spy: A True Story of China, the FBI, and Industrial Espionage",Mara Hvistendahl
Ordinary Hazards,Anna  Bruno
The Lucky Star,William T. Vollmann
The Poet King,Ilana C. Myer
The Room Upstairs: A Supernatural Horror Novel,Iain Rob Wright
Sisters,Daisy Johnson
Golden Gates: Fighting for Housing in America,Conor Dougherty
The Land Beyond the Sea,Sharon Kay Penman
"Broken Faith: Inside the Word of Faith Fellowship, One of America's Most Dangerous Cults",Mitch  Weiss
Beauty,Christina Chiu
F*ckface: and Other Stories,Leah  Hampton
